"Data Source","World Development Indicators",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Ethiopia","ETH","Persistence to grade 5, female (% of cohort)","SE.PRM.PRS5.FE.ZS","","","","","","","","","","","","","","","","","","","","","","50.6346282958984","","","","","46.4118499755859","41.796760559082","33.6477699279785","","","","","53.6380310058594","50.6076316833496","53.0437698364258","","","50.3237609863281","58.8336601257324","65.7980804443359","58.1114807128906","52.1777687072754","53.9514083862305","69.4619522094727","67.3913421630859","65.3408737182617","52.5946006774902","48.7667388916016","44.3831100463867","49.4671401977539","46.6746788024902","","","45.186710357666","","","","",
"Ethiopia","ETH","School enrollment, primary, private (% of total primary)","SE.PRM.PRIV.ZS","","","","","","","","","","","","28.141040802002","26.6535892486572","26.9746704101563","24.9854907989502","","","","","","","15.5813798904419","13.6148195266724","12.5448303222656","12.3050804138184","11.5746202468872","11.0468196868896","10.5049600601196","10.3432197570801","10.7183704376221","11.4666595458984","12.532600402832","13.6398601531982","11.6923198699951","10.6200304031372","9.10039043426514","7.58806991577148","6.68856000900269","6.23410987854004","","","","","5.28216981887817","","","","","5.4201397895813","6.00548982620239","6.00525999069214","5.3553900718689","4.00205993652344","","4.15647983551025","4.95432996749878","","","",
"Ethiopia","ETH","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6795501708984","25.0420207977295","25.0419692993164","","","","","23.3105201721191","23.3344993591309","24.1164398193359","","31.6826801300049","26.951150894165","22.9933395385742","24.8934497833252","25.1301097869873","25.5318794250488","24.3009300231934","21.1888408660889","21.2377605438232","20.3209400177002","19.2676696777344","18.4564304351807","19.4568004608154","17.4712600708008","15.9359102249146","","13.3752403259277","12.1228704452515","","","",
"Ethiopia","ETH","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8558597564697","28.6252002716064","28.7687206268311","","","","","25.8794898986816","25.8219795227051","26.9786796569824","","34.5666999816895","30.6362590789795","25.6513900756836","28.5656299591064","28.6864204406738","29.0588207244873","27.4968891143799","23.974609375","23.4849090576172","22.1899108886719","20.8036098480225","19.5666904449463","20.5024700164795","18.4494304656982","16.7005805969238","","14.0671195983887","12.7110900878906","","","",
"Ethiopia","ETH","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6110191345215","19.2045402526855","19.2045307159424","","","","","19.1600494384766","19.1027202606201","19.0377197265625","","26.7007999420166","20.838659286499","18.8710708618164","19.5146999359131","20.0904407501221","20.6467895507813","20.1468200683594","17.7938995361328","18.6100292205811","18.173360824585","17.5300407409668","17.2312698364258","18.2998199462891","16.3859004974365","15.0948495864868","","12.6065196990967","11.4624300003052","","","",
"Ethiopia","ETH","Net intake rate in grade 1 (% of official school-age population)","SE.PRM.NINT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2945194244385","","","","","30.630350112915","","","56.3048400878906","69.3998794555664","63.5983200073242","60.7425193786621","77.2107925415039","","","","79.0837936401367","","","",
"Ethiopia","ETH","Net intake rate in grade 1, male (% of official school-age population)","SE.PRM.NINT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4788208007813","","","","","31.6654605865479","","","57.584659576416","71.5216979980469","65.4857330322266","62.5328483581543","79.8651733398438","","","","81.9338989257813","","","",
"Ethiopia","ETH","Net intake rate in grade 1, female (% of official school-age population)","SE.PRM.NINT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0704002380371","","","","","29.5750904083252","","","54.9957695007324","67.229377746582","61.6684799194336","58.9132995605469","74.5007781982422","","","","76.1693420410156","","","",
"Ethiopia","ETH","School enrollment, primary, male (% net)","SE.PRM.NENR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3538818359375","35.1840591430664","33.1642990112305","","","","","22.6431007385254","26.4069995880127","31.799840927124","","40.2640609741211","41.730598449707","45.8157501220703","49.0547714233398","50.8494682312012","51.2219085693359","53.1444892883301","63.4896507263184","67.5775527954102","72.4939727783203","78.1316070556641","77.181266784668","75.3194580078125","79.6128692626953","80.873176574707","","88.5483779907227","88.5625305175781","","","",
"Ethiopia","ETH","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2667407989502","24.5720691680908","24.0704803466797","","","","","15.5050601959229","17.1950302124023","20.2152805328369","","26.6111698150635","29.175760269165","34.0240097045898","38.2678184509277","40.7143287658691","41.8861694335938","45.7127914428711","57.1663017272949","62.5579681396484","67.7417907714844","73.4917984008789","73.6258926391602","71.5339736938477","75.1709671020508","76.5477905273438","","82.7445831298828","82.2511901855469","","","",
"Ethiopia","ETH","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3495292663574","29.9052600860596","28.6345100402832","","","","","19.1053905487061","21.8453407287598","26.0662403106689","","33.5004501342773","35.5089111328125","39.970588684082","43.7061195373535","45.8228187561035","46.5917015075684","49.4595603942871","60.3556213378906","65.0910491943359","70.1422424316406","75.8367614746094","75.4230728149414","73.4472579956055","77.4153823852539","78.7326431274414","","85.675537109375","85.4387130737305","","","",
"Ethiopia","ETH","Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","","","","","","","","","","","","","","","","","","","","","","","65.1179962158203","","","","","68.0360870361328","63.5933609008789","63.1994209289551","","","","","49.5083808898926","57.9574203491211","70.6706695556641","","80.5366516113281","81.1654205322266","82.0211181640625","84.4066162109375","81.1777114868164","79.7810211181641","97.292121887207","134.779891967773","114.437187194824","130.019393920898","155.249710083008","133.616180419922","132.018707275391","150.605285644531","144.144790649414","","153.069396972656","144.118179321289","","","",
"Ethiopia","ETH","Gross intake ratio in first grade of primary education, male (% of relevant age group)","SE.PRM.GINT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","80.0092315673828","","","","","83.2802505493164","78.015998840332","76.1908493041992","","","","","63.8564910888672","74.963996887207","91.4497528076172","","99.583869934082","95.6721267700195","93.2260818481445","94.0106430053711","90.1796722412109","87.9688110351563","103.129089355469","139.895126342773","119.511917114258","136.398345947266","163.824584960938","139.974838256836","140.939376831055","161.188064575195","151.668197631836","","161.202621459961","156.361068725586","","","",
"Ethiopia","ETH","Gross intake ratio in first grade of primary education, female (% of relevant age group)","SE.PRM.GINT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","49.6274299621582","","","","","52.7454414367676","49.1147003173828","50.1105003356934","","","","","34.8582992553711","40.5895690917969","49.4476509094238","","61.1197090148926","66.3942031860352","70.6217498779297","74.6404495239258","72.0230178833008","71.4458236694336","91.3414764404297","129.557662963867","109.250648498535","123.494621276855","146.478042602539","127.114601135254","122.904296875","139.800750732422","136.46484375","","144.758712768555","131.598861694336","","","",
"Ethiopia","ETH","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","20.6016807556152","21.6256198883057","22.1706504821777","24.1026306152344","26.0751495361328","28.7400493621826","30.8165092468262","29.3750305175781","35.1908187866211","43.9607582092285","49.8387107849121","52.6626510620117","52.4636688232422","49.5584411621094","45.1501197814941","44.4222106933594","48.7518882751465","50.2792015075684","47.4841690063477","42.418140411377","37.7463607788086","29.1371994018555","25.4124698638916","31.1303997039795","36.2924118041992","44.260181427002","51.4031295776367","62.7124099731445","61.103099822998","65.6360626220703","71.0344619750977","73.8133316040039","74.679328918457","75.9526290893555","86.0484237670898","89.0070571899414","94.3824691772461","99.5896072387695","97.0385665893555","95.3786926269531","98.3700180053711","98.0452575683594","","104.137100219727","106.762588500977","","","",
"Ethiopia","ETH","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","9.44398021697998","10.0804901123047","10.3587398529053","11.3352298736572","12.348819732666","13.7201499938965","14.7917499542236","14.463680267334","16.9204902648926","23.3448505401611","27.5448799133301","30.2299900054932","31.6442909240723","30.7554092407227","29.4832992553711","29.1708507537842","31.0303497314453","31.1806201934814","30.5440807342529","27.8599491119385","25.125150680542","21.2030696868896","17.7752799987793","19.6094493865967","21.7474803924561","25.45458984375","29.0611801147461","36.9788703918457","37.4978408813477","43.0568084716797","49.309440612793","52.9353981018066","54.794059753418","59.414680480957","71.8542785644531","77.5418472290039","83.8403625488281","89.9520263671875","89.8877563476563","88.0941619873047","90.5484924316406","90.98388671875","","95.6240386962891","97.0276107788086","","","",
